SupplierID,SupplierName,Country,Region,Tier,Product,ChildLaborRisk,ForcedLaborRisk,WorkplaceSafetyRisk,FreedomOfAssociationRisk,DiscriminationRisk,WageRisk,LandRightsRisk,PollutionRisk,WaterUsageRisk,DeforestationRisk,OverallRiskScore,UmsatzvolumenEUR,LastAuditDate,MitigationMeasures,Status
S001,Cacao Côte d'Ivoire Excellence,Côte d'Ivoire,Soubré,2,Kakaobohnen (Forastero),Hoch,Mittel,Hoch,Hoch,Mittel,Hoch,Hoch,Mittel,Mittel,Hoch,9,1500000,2025-03-15,Jährliches Audit; Schulungsprogramme,Unter Beobachtung
S002,Ghana Gold Cacao,Ghana,Ashanti,2,Kakaobohnen (Forastero),Hoch,Mittel,Mittel,Mittel,Mittel,Hoch,Mittel,Mittel,Mittel,Hoch,8,1800000,2024-11-20,Fairtrade-Zertifiziert; Regelmäßige Besuche,Aktiv
S003,Andean Cacao Treasures,Ecuador,Manabí,1,Kakaobohnen (Nacional),Mittel,Niedrig,Mittel,Niedrig,Niedrig,Mittel,Mittel,Niedrig,Mittel,Mittel,5,750000,2025-05-10,Bio-Zertifiziert; Direkter Handel,Aktiv
S004,Zuckerrohr Brasilien AG,Brasilien,São Paulo,1,Rohrzucker,Mittel,Mittel,Mittel,Mittel,Niedrig,Mittel,Hoch,Mittel,Hoch,Mittel,6,900000,2025-01-30,Bonsucro-Zertifizierung,Aktiv
S005,Milchwerke Alpenland GmbH,Deutschland,Bayern,1,Milchpulver,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,1,1200000,2025-08-01,Lokaler Lieferant; QS-zertifiziert,Aktiv
S006,Java Supreme Beans,Indonesien,Java,2,Kakaobohnen (Criollo),Mittel,Mittel,Hoch,Mittel,Mittel,Mittel,Mittel,Mittel,Mittel,Hoch,7,600000,2024-09-05,Rainforest Alliance; Audit geplant,Aktiv
S007,Peruvian Fine Aroma,Peru,San Martín,2,Kakaobohnen (Trinitario),Mittel,Niedrig,Mittel,Niedrig,Niedrig,Mittel,Mittel,Niedrig,Mittel,Mittel,4,650000,2025-07-22,Direkter Handel; Schulungen,Aktiv
S008,Nigerian Cocoa Farmers Co-op,Nigeria,Ondo,2,Kakaobohnen (Forastero),Hoch,Hoch,Hoch,Hoch,Mittel,Hoch,Hoch,Mittel,Niedrig,Hoch,9,1300000,2025-02-11,Risikobewertung abgeschlossen; Maßnahmenplan in Erstellung,Unter Beobachtung
S009,Verpackung & Druck Müller,Deutschland,Baden-Württemberg,1,Kartonagen,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,1,450000,2025-09-15,FSC-Zertifiziert; ISO 14001,Aktiv
S010,Dutch Dairy United,Niederlande,Friesland,1,Milchpulver,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Niedrig,Mittel,Niedrig,2,850000,2025-04-18,EU-Bio-Siegel,Aktiv
